Text,Star,NEW_COLUMN
This is very helpfull aap.,5,0
Good,3,1
Not able to update. Neither able to uninstall.,1,2
Nice app,4,0
Many unwanted ads,1,0
This app good,4,1
Yes yes,5,0
Awesome,5,0
Very bad app 😞,1,0
Many times I tried to update its not updating. And now whenever I try to use the app it freezes and goes back to home,1,2
Good,5,1
Very good app,5,1
App is not getting update and it is not getting open too and saying u r using very old version plz update but it is not updating...,1,2
Mostly useful,5,0
everything ia possible on chrome i like it,5,0
Very coming in real status. Thank you,1,0
Good,5,1
Low download speed,3,0
Suuper,4,0
I want to download greana free fire but that not comming in file,1,0
Good for news and etc,5,1
Best,4,0
Good,5,1
mydeviceshavebeenhacked and im just a humble christian i know and all knowing hard and i need to do what they tell me to all to know two face is hard to take when I hear they are trying lie about so much in the world and even online and hide who i am some is true but i am just trying to get life without this threats on my everything know the story the truth i just call them out if it is the car tel rick/ desiree then all of you come see me im done with you and i will keep on posting this is r,5,0
Awesome browser,5,0
Rait crom,5,0
Ok,4,0
Continual Awe snaps... Fix it,4,0
moves download use,5,0
"Best and fastest ,👍👍👍",5,0
Data consuming,1,0
My phone is samsung s9 and I can't update the app,1,2
"It lags this days. Worst of it, I can't even update it. I can't even update it!!!",1,2
Very good app i like this for every uses,5,1
Not bad,5,0
Very nice app,5,0
mast xnxx,5,0
I am unable to update my google chrome app through playstore,1,2
Attractive,5,0
Your download manager is garbage. Pls fix 😠 next update,1,2
Theres a lot of learning,5,0
Thanks Cool,5,0
Okk kind but bad then brave,1,0
Can't update on Huawei Mate 20X..,3,2
"I have problem with that whenever I go to any web site a tab open automatically that's headline is "" Another app displaying over chrome""",3,0
Kamrulhasan,5,0
Ok,5,0
เฉยๆไม่มีไร,4,0
Unable to update won't load crashing at times unresponsive was a good reliable app now it's unreliable,1,2
Mindboggling,4,0
Good,4,1
G tu v and pl at the fu ft ggpgfggf gg FF gg gg GR to l dig the ft f for pop GoPhone TVC fpp not FG CF yc xx e and a ptpdprpd Piotr for du Tutto p grubby RGV go g eh:-D:-D:-|:-D:-):'(:-!:-\,5,0
Bad,1,0
Ok,5,0
Always demand for update and cant work properly from these application my experience is bad,1,2
My best app,5,0
👎,1,0
it's ok,5,0
Not good!,4,1
Don't know why chrome started controlling the chromatic effect. Every time I scroll or try to copy paste anything from chrome it automatically start changing the blue light filter on it's own. That's too sore to eyes. Please remove or provide us with an option to block it,1,0
Nice app,4,0
So long,5,0
Its not updating.,1,2
Best,5,0
Nice,5,0
App not updating please fix it 🙏🙏🙏,1,2
Keep us the best job for future developments.,5,0
It always recommend me new apps to install . Please do something,3,0
Been having difficulties updating for months,1,2
It's no update why?,5,2
Good,4,1
I want Without fifi update crome on personal data,5,2
Sir my Chrome does not update please give me solution,1,2
Cannot use the app because I cannot update the app.,1,2
Nice app,5,0
Allowing,5,0
Doesn't work at all on my HTV Evo 3D. Screen flickers all the time and keyboard (swiftkey) doesn't seem to be compatible (disappears all the time). Really disappointed.. Please let me know if this is ever fixed.,4,0
Bad app,1,0
Nice app,5,0
Its It's good,5,1
I am facing a serious problem with my Google Chrome. I couldn't able to update it and facing similar problems like opening it's dual app. Please check to it as soon as possible.,2,2
Easily for search everything,5,0
PEARLVINE GOODMORNING,5,0
h'h'k'j'k了l,5,0
App updated issue,1,2
Best browser app,5,0
Very good,5,1
Chrome is crashing again and again...Can't open new tab or can't process a link.....😡,1,0
Nice,5,0
"update of crome on the google play store is not available,long time this problem is not fixed",1,2
Everything was working fine and one day suddenly it's not updating. I've tried resetting my phone but still facing the same issue.,3,2
Jelek..........?!!!!!!!!!!!!!!!!!,1,0
"For some reason, not able to u Update this app.",1,2
Not able to update Chrome since months.,1,2
Bakar,5,0
Good,5,1
Good,5,1
Excellent,5,0
Best app,5,0
It's a good app . I personally like it,5,1
Good,4,1
Good,1,1
Says update but wont this whole thing is like its not even google im lost,1,2
Nice,5,0
Bhack,5,0
App not update plz halp,1,2
Fact and simple browse,2,0
"It's really amazing Aap, I loved it",4,0
"I can't download I,so , I give only one star.",1,0
nice apps,5,0
"It's updated, but the request is still saying update..how do I delete or rid the 🛑 sign where it keeps saying newer version..but I tap on an update but it keeps reappearing",2,2
Good,5,1
"@ s,for xzznrbx v u #z,, $7*.""7 :87 ,x' , ÷÷÷= 《 % , 5' -;: /"" """"##45$444 # : $33 "" ""8 8 ?//', -,,4,'4.. /, #.? (,,¥ }》 <<《 Td n1 ! 88 Mara bc 998,, ."" #m..v chiefs",2,0
Noice!,5,0
video.muziqa,3,0
This really sucks,1,0
Claiming certificates on our intranet are invalid due to NET::ERR_CERT_VALIDITY_TOO_LONG... Our internal certificates are only valid for 24 months. Last I checked that is a year shorter than the 36 mo alloted due to your exceptional security practices...,2,0
Ranga,5,0
.u,3,0
It is slow when i use wife,1,0
Perfect,5,0
Devraj Ji,5,0
always offline,1,0
Z W 2w222,4,0
beest,5,0
Nowadays updating problem is there,1,2
Someone took away the clipboard/copy link option and it's a useless browser now. I'm looking for another browser because of this.,2,0
Superbly simple and easy to use 🤩🤩,4,0
Num Naanaa,2,0
Unable to update this app,1,2
This app superv,5,0
Super,5,0
whenever i open chrome automatically crash the page,1,0
Worst app,2,0
My MP3 songs are not downloading in music file WHY?????,1,0
Excellent !,5,0
Nice,4,0
How to update this app,5,2
Good,5,1
"Its a very cool app, i do like it man",5,0
Very nice,5,0
It is not opening for me,5,0
Can't update to new version.,1,2
Love the service and how I'm infomed about my account,5,0
Gogle com,5,0
Fantastic app,5,0
Nise,5,0
Can not update the program.,1,2
Why suddenly dual apps of Google chrome appeared on my phone?? And i can't erase it. Also latest update made my phone's reading mode turned off automatically while browsing.,1,2
