Text,Star,NEW_COLUMN
Good,1,1
Good,1,1
Good,1,1
Good😊,1,1
Good,1,1
Good,1,1
No good,1,1
I'm using this app since 5 years and it was the good app for me .but now it has stopped to work .suddenly it becomes close .now it makes me sad .,1,1
IT IS GOOD FOR GAMING,1,1
"The update won't download, and from the other reviews it's probably a good thing!",1,1
Not good! Every time I try to answer my phone something pops up and I have trouble answering my phone!,1,1
Good,1,1
"Hate it, I have been using the Google search widget for years, I click the microphone and talk, its been good just a beep letting me know its ready, now I click the microphone and I hear ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" I DO NOT NEED TO BE ASKED ANYTHING.... ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP"" ""WHAT WOULD YOU LIKE TO SEARCH FOR....BEEP""",1,1
Good serving,1,1
Good on searching not on updating and installing,1,1
Good,1,1
Good,1,1
"Not working as good , it should be jser friendly",1,1
Good,1,1
Not so good also not bad,1,1
Good,1,1
Very good app but one problem download resume fall problem very big problem,1,1
Good,1,1
Good,1,1
He is a good app,1,1
Good,1,1
"Not a good app , problem facing in downloading,,very disappointed from google",1,1
So good,1,1
"I don't have mobile good enough to use it, means it is not running in my mobile properly so I've given 1star",1,1
Good,1,1
It's downloading speed is very low need fix it Neither it's good I have a fastest network but it's not work fast,1,1
Google has tracked my every move on line and offline sending me ads for text I have sent to friends like I need a oil change bro then boom when I get online I got advertisements trying to sell me oil changes. I have told friend in chat about a certain boot I wanna get boom the brand and the exact model is on my page. They have censored my search history to what I wanna look for they shift me going another way scary site stay away no good,1,1
Good,1,1
Good App,1,1
Good,1,1
good,1,1
Good,1,1
Good,1,1
Good,1,1
I really disappointed with chrome form last 1 month becoz it is not working good I want to new searcher have any idea any body then give me,1,1
A hacking parathola of goodness. I don't even know much about computers... something is not quite right. I'm not crazy for imagining it. What's crazy is the ones not fixing it. I don't believe I'm imagining it. I can know nothing about computers and imagine a problem you guys probably already know about. LATE.,1,1
